81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0
88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0
86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0
88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0
86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0
84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0
86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0
88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0
89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0
91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0,57.0,61.0,64.0,69.0,73.0,76.0,69.0,73.0,76.0,81.0,85.0,88.0,85.0,81.0,76.0,73.0,69.0,76.0,73.0,69.0,64.0,61.0,57.0,81.0,88.0,86.0,88.0,86.0,84.0,86.0,88.0,89.0,91.0,88.0,89.0,88.0,86.0,88.0,86.0,84.0,82.0
